"","Q4.1","Q4.2","Q4.3","Q4.4","Q4.5","Q4","Q7.1","Q7.2","Q7.3","Q7.4","Q7.5","Q7.6","Q8","Q9","Q10.1","Q10.2","Q10.3","Q10.4","Q10","Q12","Q13","Q14","Q15.1","Q15.2","Q15.3","Q15.4","Q15.5","Q15.6","Q15.7","Q15","Q16","Q17","Q18","Q20","Q21","Q22","Q23","Q24.1","Q24.2","Q24.3","Q24.4","Q24.5","Q24.6","Q24","Q25.1","Q25.2","Q25.3","Q25.4","Q25.5","Q25.6","Q25.7","Q25.8","Q25","Q26","Q27.1","Q27.2","Q27.3","Q27.4","Q27.5","Q27.6","Q27","Q28","Q29","Q30","Q31.1","Q31.2","Q31.3","Q31.4","Q31.5","Q31","Q32","Q33","Q34.1","Q34.2","Q34.3","Q34.4","Q34","Q35.1","Q35.2","Q35.3","Q35.4","Q35.5","Q35.6","Q35.7","Q35","Q41.1","Q41.2","Q41.3","Q41.4","Q41.5","Q41","Q42.1","Q42.2","Q42.3","Q42.4","Q42.5","Q42","Q43.1","Q43.2","Q43.3","Q43.4","Q43.5","Q43.6","Q43","Q44","Q45","Q46","Q47","Q48","Q37","Q39","Q36","Q40","knowledge.total"
"Q16",1,1,1,1,1,1,1,1,1,1,1,1,9.1065896517763e-05,1,1,1,1,1,1,1,1,1.20167784314217e-16,7.20675783331069e-09,4.30267682219101e-16,1.46386226632999e-23,5.5623661050696e-85,2.65078526873334e-296,1.56254478117114e-06,7.021092278456e-09,3.21393563524895e-57,0,0,0,0,0,0.480436413570687,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q17",1,1,1,1,1,1,1,1,1,1,1,1,1.46348572854314e-05,1,1,1,1,1,1,1,1,1.71670766277191e-15,1.00965863765134e-08,6.51200829151883e-16,2.48333536831435e-23,2.88940498237916e-92,1.53886847302697e-283,3.06499575072116e-10,6.61480230916575e-09,6.75336872088535e-58,0,0,0,0,0,0.0457158248081095,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.976275860877241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.711976680477566
"Q18",1,1,1,1,1,1,1,1,1,1,1,1,2.95829311959616e-05,1,1,1,1,1,1,1,1,2.90931242861482e-16,9.85943421004193e-09,6.16484429233169e-16,3.14406796366831e-23,6.44635292010546e-85,2.51328801720094e-306,1.8022358827473e-07,6.21018310611795e-09,1.05028886868827e-57,0,0,0,0,0,0.0825160581881437,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.680456010889064
"Q20",1,1,1,1,1,1,1,1,1,1,1,1,2.99362371818679e-05,1,1,1,1,1,1,1,1,2.31775921852758e-16,7.22704128305333e-09,3.92986708445457e-16,1.47571388520619e-23,1.63352530138975e-85,3.33126278004557e-312,1.10137955337271e-07,5.48404582655571e-09,4.33188652251205e-58,0,0,0,0,0,0.000870661052884231,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.847726762424332
"Q21",1,1,1,1,1,1,1,1,1,1,1,1,3.95657191845917e-05,1,1,1,1,1,1,1,1,1.03282852441e-16,9.25466861712998e-09,5.83113232008077e-16,2.13666470714838e-23,1.25862349428469e-84,3.76020655544011e-309,1.47843879991294e-06,6.65833449024489e-09,2.25594820509172e-57,0,0,0,0,0,0.017389832441988,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0487268781187599,1,1,1,0.480436413570687,0.0457158248081095,0.0825160581881437,0.000870661052884231,0.017389832441988,0,0.0347351992966913,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q23",1,1,1,1,1,1,1,1,1,1,1,1,2.55139991603889e-05,1,1,1,1,1,1,1,1,3.24556860274161e-16,1.47128871817941e-08,1.04427171544788e-15,4.68072019490795e-23,7.90381718432435e-87,4.11396755571644e-286,6.51364887847365e-09,6.33308746047378e-09,7.5398530607904e-58,0,0,0,0,0,0.0347351992966913,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q24.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2.89333407445676e-30,0.0151434459104866,1.80843371990075e-07,1,1,1.83923539351286e-08,9.40149899490472e-05,1,0.42411416700165,1,1,1,1,1,1,8.82465706454076e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q24.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.89333407445676e-30,0,0.00489476070922213,1,1,1,0.0277487536549728,4.89109845484492e-15,0.942757475346528,0.129910458648045,1,1,1,1,1,1,1.05655962943775e-15,0.10212136933534,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q24.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0151434459104866,0.00489476070922213,0,0.00120825864811337,1,1,9.65979170861318e-12,0.00198198639058254,1,4.80642056743892e-34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q24.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.80843371990075e-07,1,0.00120825864811337,0,1,1,2.05743035378385e-13,1,1,3.49589315424089e-05,1,1,3.90258998057864e-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.260579374502945,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q24.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5.66052596489653e-14,3.91531704156608e-82,1,1,1,1.98576387098062e-12,0.00164702568351869,1,1,1,1.55388837253912e-13,1,1,1,1,1,1,1,0.0431447596464134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0220477999302885,1,1,1,0.0366705616329563
"Q24.6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.66052596489653e-14,0,3.44566227645945e-94,1,1,1,0.000206193958283058,3.86130398661015e-17,1,1,1,8.3873467349094e-20,1,0.707482757578283,1,0.0875400589247753,1,1,1,0.270456166074594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000655905574182156,1,1,1,5.18018303357494e-06
"Q24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.83923539351286e-08,0.0277487536549728,9.65979170861318e-12,2.05743035378385e-13,3.91531704156608e-82,3.44566227645945e-94,0,1,1,0.0582966134827511,2.57825044030276e-07,5.75910372670323e-11,0.238461618589041,1,1,3.3510724573734e-23,1,0.0461822745995854,1,0.00244638214970513,1,0.000678239570273757,1,0.000208560341294952,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.133538089010899,1,1,0.077112464843715,1,0.057967034532426,1,1,1,1,1,1,1,1,0.000888650202841355,1,0.0894014945481335,1,3.04086548744007e-07
"Q25.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.40149899490472e-05,4.89109845484492e-15,0.00198198639058254,1,1,1,1,0,0.0077102375157123,1.23829601820181e-06,0.331386284339729,1,1,1,1,1,2.48828974466004e-08,1,0.334441964230206,1,1,1,1,1,1,1,0.00620580893657797,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q25.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.942757475346528,1,1,1,1,1,0.0077102375157123,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q25.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.42411416700165,0.129910458648045,4.80642056743892e-34,3.49589315424089e-05,1,1,0.0582966134827511,1.23829601820181e-06,1,0,1,1,0.0238091642803266,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q25.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.98576387098062e-12,0.000206193958283058,2.57825044030276e-07,0.331386284339729,1,1,0,0.183617964653052,1,1,0.348960330460634,7.06570956931563e-71,1,1,1,1,1,1,1,0.499565860316729,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.13817553874937,1,1,1,1,1,1,1
"Q25.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00164702568351869,3.86130398661015e-17,5.75910372670323e-11,1,1,1,0.183617964653052,0,1,1,1,1.49413467960334e-69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.569623185730344,1,1,1,1
"Q25.6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.90258998057864e-21,1,1,0.238461618589041,1,1,0.0238091642803266,1,1,0,1,1,1.12803697111811e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q25.7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.820091905851975,5.59591987301485e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.257499951528682,1,1,1,1,1,1,1,1
"Q25.8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.348960330460634,1,1,0.820091905851975,0,1.00200155113115e-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.55388837253912e-13,8.3873467349094e-20,3.3510724573734e-23,1,1,1,7.06570956931563e-71,1.49413467960334e-69,1.12803697111811e-07,5.59591987301485e-07,1.00200155113115e-16,0,1,1,1,0.547373796084136,1,0.000732587684210341,0.0645489996342868,6.45176106990616e-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q26",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.82465706454076e-07,1.05655962943775e-15,1,1,1,1,1,2.48828974466004e-08,1,1,1,1,1,1,1,1,0,0.236306243980725,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q27.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.10212136933534,1,1,1,0.707482757578283,0.0461822745995854,1,1,1,1,1,1,1,1,1,0.236306243980725,0,1,1,1,1,1,0.00329526785665093,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000168665902526581
"Q27.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.334441964230206,1,1,1,1,1,1,1,1,1,1,0,0.0649213476615431,1,2.08286456422337e-05,0.0704311079063982,5.3572539209397e-43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q27.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0875400589247753,0.00244638214970513,1,1,1,1,1,1,1,1,0.547373796084136,1,1,0.0649213476615431,0,0.0105147017566115,0.00165730307049402,1,9.85426726046775e-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q27.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0105147017566115,0,6.97497361381685e-05,1,1.93922080280604e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00867619599465299,1,1,1,1,0.393206971841192,1,1,0.782264402219099,1,1,1,1,1,1,1,1,1,1
"Q27.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.362820190375855,0.400466500153401,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000678239570273757,1,1,1,1,1,1,1,1,0.000732587684210341,1,1,2.08286456422337e-05,0.00165730307049402,6.97497361381685e-05,0,1.29063045917954e-12,1.22012633687112e-51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00299507938836593,1,0.168392332348411,9.52448239149002e-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.571624308599073,1,1,1,1,1,1,1,1,1,0.582191208585518
"Q27.6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0645489996342868,1,1,0.0704311079063982,1,1,1.29063045917954e-12,0,9.42211114025171e-124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.127038145418503,0.000134869102990966,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0431447596464134,0.270456166074594,0.000208560341294952,1,1,1,0.499565860316729,1,1,1,1,6.45176106990616e-06,1,0.00329526785665093,5.3572539209397e-43,9.85426726046775e-10,1.93922080280604e-05,1.22012633687112e-51,9.42211114025171e-124,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00412080714509134,0.0561467888231292,0.00247519652183257,7.15144305614985e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.877422389969742,1,1,1,1,1,1,1,1,1,1,1,1
"Q28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1.51527330946425e-22,1.15997910606905e-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.51527330946425e-22,0,3.19089619839764e-09,0.214318968234697,0.453387791925831,1,1,1,3.08810687444817e-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.00620580893657797,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.15997910606905e-23,3.19089619839764e-09,0,0.472201709768298,1,0.135983672752097,1,1,0.0609646832932083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q31.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.214318968234697,0.472201709768298,0,1,1,1,0.274140166468402,7.28082647606655e-91,3.01512355505291e-22,4.31041089877894e-07,1,1,1,1,0.0817145843731723,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q31.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.453387791925831,1,1,0,1,1,1,2.69855096282024e-40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q31.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.135983672752097,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0.369978736145294,1,1,1,1,0.0540469513078458,0.0454344023202279,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q31.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.0172843402615636,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q31.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.274140166468402,1,1,1,0,1.75085935589348e-06,1,0.00138964697680518,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.976275860877241,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.08810687444817e-07,0.0609646832932083,7.28082647606655e-91,2.69855096282024e-40,1,0.0172843402615636,1.75085935589348e-06,0,3.7940428637671e-17,4.42350919113255e-08,0.434249841583387,1,1,0.894298883135671,0.000115365884881347,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q32",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.01512355505291e-22,1,1,1,1,3.7940428637671e-17,0,3.40997174940507e-30,1,0.905285480598526,1,1,0.273502688967724,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.120089320532137,1,1,1,1,1,1
"Q33",1,1,1,1,1,1,1,1,1,1,1,1,0.45575294357459,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.31041089877894e-07,1,1,1,0.00138964697680518,4.42350919113255e-08,3.40997174940507e-30,0,0.63828717428647,1,1,1,0.194367670550985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q34.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.434249841583387,1,0.63828717428647,0,1,1,5.05755781219212e-06,9.42048405805276e-109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q34.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.905285480598526,1,1,0,1,1,2.49409002546115e-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Q34.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0.000126322480083298,1,1,1,1,0.394417029038904,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.244617620773476,1,1,1,1,1,1,1,1,1,1,1,1
"Q34.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.894298883135671,1,1,5.05755781219212e-06,1,1,0,2.25318102325273e-72,1,1,1,1,1,1,1,0.0803369087444998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.273932015841943,1
